Topic,Document,Video
2,"to be good at being a man you have to have had a hard life if you look at any superhero , his life was this is the reality of it . to be a hero you have to suffer . the flavor of life is pain . you try to change the flavor . all the bad things have to happen . there 's no way to get there without the bad things . there 's only pain that can teach a man . that is why i suffered . that 's why i gone on the right . that 's why i fall . that 's why i went through the endless_pain . the best things in life as a man or the things that are difficult to do . every time you climb when that bitch broke your heart every time you were sad and depressed . these are the things that mold you . there 's no such things as a grim man 's thought the familiar would pain . the best men familiar with pain .",episode-81-uptober.txt
2,"and it 's your duties as a man to stand up and say , i wan na be as important and strong and good heart and god fearing as possible , and i need to work hard to achieve those things . if you can not control your own mind , then you are just a feather in the wind of life . because your own mind is the only thing you can control . you ca n't control the weather , you ca n't control open people . you ca n't even control whether your heart stops beating . you might have a heart_attack tomorrow . you ca n't control anything besides what you think . there 's no such as too much masculine it 's genuinely masculine . genuine is not here to hurt people 's absolutely the opposite . out here to protect . and when bad things happen , they call traditionally masculine men . if you need a firefighter , you need a masculine man .",counter-attack.txt
2,number twelve . i believe that a man has to sacred duty to hold true to his word and do exactly what he says he will do . number thirteen . i believe that a man 's life is difficult and he has to sacred duty to become strong to handle such difficulty . number fourteen . i believe men are personally responsible for their actions and for the results they achieve in their lives . number fifteen . i believe in emotional control and the vital need to become disciplined and professional in all things . number sixteen . i believe men have to sacred duty to approach everything in life from a position of strength . number seventeen . i believe that all men have to sacred duty to become men of upright and become men of upright and virtuous character and live above all possible rep approach . number eighteen .,episode-3-the-41-commandments-of-tate.txt
2,"that 's what women are gon na expect more than ever before . you think trump winning is gon na make it easier for you to get a girlfriend . only if you 're a winner , is gon na make it harder of you 're a loser . it was hard during liberal as a loser . and but during liberal perhaps . you could find one of those girls who was si enough and you could sit there and say , i 'm broke , but it 's okay because i believe in communism unless smoke and weed together and perhaps get your dick wet . no anymore . they all expect you to be a strong , masculine , competent winner . this is why i 'm telling you . i the battle has n't ended . the battle has actually just begun . all of the work that you need to do is now more achievable than before , but the battle has just begun . and i been telling you guys before trump won .",episode-88-back-to-reality.txt
2,"the thing is they have very big families that carry on for generations . and they always live underneath one route , a roof looking after one another , having each_other 's back and it 's as strong societal trust , but you just do n't get the west , which i really do respect . and that 's why we found common ground to they asked me . miles was in in english and . why why do we not have a england english state . english and that 's why we call it in pastor to english and i believe . they would say , you know why do how you have one child , two child . missus is crazy for us . you know , most people have seven children . i was like , i agree with that . yeah . i was like , that . and i was like i want seven way children . i want them to explore the stars in the future generation .",episode-22-the-grand-adventure.txt
2,"that 's it really does n't make sense . so i 'm super glad that when a burning man is suffering . yep . and most people are not enough , to reflect on their own life choices , but it 's actually amazing how good you become at things if you reflect . i talked about this at the war meeting , which we 're about to get into . and i talked about how ... without reflection without feedback , you 're never gon na become good at anything . and most people do not reflect and feedback on life . let leave example . i get constantly complimented on the fact that i 'm amazing at speaking . and i 'm amazing at making people understand why i think the way i think . and people ask me how i got so good at it , and then someone idiot ... well , well , if you practiced . it 's not just practice because all of you speak all day every day .",episode-15.txt
2,"it is the man 's fault , and i actually love hearing from my fans . look , tristan . my relationship with my girlfriend is vastly improved . you know ? she was n't not interested in me . i i was gon na loser her . i thought were gon na break up . you know , when i hear from women saying , look , my sons are doing so much better in life . you know , it 's it 's it 's not . it 's a it 's a virus . that we are spreading . the virus of masculinity . the the virus of traditional mindset and traditional masculinity that we 're spreading that everyone scared of because i hear all the time from women and men about how their relationships have improved and about how they are living closer to their true imperatives as human beings , just from listening to very basic stuff that we say . and it 's amazing how many lives we changed .",episode-14.txt
2,"so anyone who 's obsessed chasing happen is gon na just destroy themselves . so somebody has genuinely decided to quit drugs . genuinely , i believe they would quit . and if someone goes , i do n't wan na quit man and they do it an hour later . they do n't wan na quit . it 's not my job to make people do things they do n't wan na do . if you 're put if your image in your mind is of the kind of person who is controlled by a substance . i 'd be embarrassed for a non sentient substance , a powder or a plant to control me . does n't even have a brain . and it 's my boss one am i a dumbass ? no . i 'm the boss . i 'm the boss of fucking tobacco and coffee . and i 'm very ... i 'm the boss of everything . i 'm the boss of food . if i do n't wan na eat i do n't eat .",war-smiles.txt
2,"life kicks you down sometimes , but obscurity is forever . a lot of you listening and a lot of people who you know . a lot of people who you know , will live their entire life and a year after they died . you wo n't be able to find anything about them on fucking google search . nothing . next . when as a man you must earn your friends . the harder you work , the more important you become , the more important you are , the more important your friends will be , and important friends improve your life exponentially , they massively improve your life important friends ? sure . look how important the alliance between trump and elon has been . mh . why did that friendship take place ?",episode-88-back-to-reality.txt
2,"you need mentorship you need guidance you need information you need people to sick and teach you how to do it . that 's what we do inside the real world , but if you wan na join that , then you need to have another plan that 's just as good if not better . and for most of you , you 're not gon na have another plan . self_accountability is absolutely not important based on self reflection . good question . it 's to be a daily habit for every_single man who is serious about improving their lives . so i 'll got a quick question to . i 'm gon na answer . even know only one dollar . a very stupid question that has a very serious answer . it 's from a harris joaquin , hi tristan . i would like to have a brief conversation with you about something you said . i 'm afraid i disagree with .",episode-8-awakened-warrior.txt
2,"are you gay ? and i 'm i 'm asking first are you gay ? what else soon be mindful for ? what 's the point in all of this ? if it 's not to leave a paul mark in the world ? what 's the point of the need . and what 's the point in having children not can replicate you , which means you have a duty to your kids to be as fantastic as possible , i can only hope . my children is the designed . let alone battle . do you understand how important it is for humanity as a whole that there are ten takes in the future , not one ten . do you understand how important that is ? i have a duty to them to flawlessly perform ? people say to me andrew , you should shut up they 're put you in jail . if i shut up , i may not go to jail , but then i do not get to propagate my ideals . i do not get to show bravery to my off offspring .",episode-85-the-portal.txt
2,"the pawn only moves in a certain way . the queen only sucks for a certain reason , and you 're the king trapped in the corner with no fucking money while your enemy rook and bishop pin you down . there is nothing you can do about it besides find the only move that allows you to win . this is the game we now live in gentlemen . and twenty twenty four is gon na be more important than ever before . as the culture shifts because women follow culture , as the culture shifts towards w towards sen san . they 're gon na be looking for masculine men . women are gon na understand all that woke liberal bullshit out the window . they 're gon na be looking for real men , and they expect real men to be competent , brave , strong , funny , smart , interesting charismatic , rich .",episode-88-back-to-reality.txt
