Topic,Document,Video
3,"and exclusive_stream for people who are inside of the real world home and how they can take the information we 've given them . i 'm gon na do this for every_single emergency_meeting for the unfair_advantage , how to make money from these points , how to affect the world in a way that 's gon na benefit you come to the stream inside of the real world . emergency_meeting unfair_advantage is taking_place live now to gain_access join now at join the real world dot_com . if you 're inside of the real world , you can prepare for an_announcement inside of the tate_channel . we 're gon na have a taped_channel broadcast . i 'm we 're gon na go live_exclusively to you guys at the end of every emergency_meeting is we gon na start telling you ourselves , how you can make money from the things we 've mentioned .",episode-82-huge-announcement.txt
3,"in fact , can avoid nearly all of life 's problems , except for the government coming for you and trying to put you in jail . that 's unavoidable . however , if you 're amongst the public nowadays , you have a lot of problems coming for you . so another piece of advice i 'll give you all is when someone gives you an opportunity you 're looking at something that involves a lot of public think heavily because it 's really not worth it . right , guys , we 're gon na go into all of these points , we 're gon na talk about all of them at length during our unfair_advantage . if you do n't know what unfair_advantage after every emergency_meeting , we do an exclusive broadcast only to the real world if you sign up to the real world and you 're one of the students is gon na come live inside the platform .",episode-52-do-you-have-a-sword.txt
3,"and then at the end we 're gon na say for the unfair_advantage , how to make money from these points , how to affect the world in a way that 's it 's gon na benefit you come to the stream inside of the real world . so for that reason , i 'm telling you now . so if you 're inside of the real world , you can prepare for an_announcement inside of the tate_channel . twenty minutes we go live . we 're gon na have a tight channel_broadcast , i 'm gon na go live_exclusively to you guys when wan na gon na talk about these things . if you 're not inside of the real world , well then you should be , because you 're gon na miss the most important part of this emergency_meeting is how all of these things can be used by you and utilized by you to increase your finance . the real world is officially now bigger than it has ever been .",episode-48-unfair-advantage.txt
3,"an exclusive_stream for people who are inside of the real world home and how they can take the information we 've given them . i 'm gon na do this for every_single emergency_meeting for the unfair_advantage , how to make money from these points , how to affect the world in a way that 's gon na benefit you come to the stream inside of the real world . emergency_meeting unfair_advantage is taking_place live now to gain_access join now but join the real world dot_com . if you 're inside of the real world , you can prepare for an_announcement inside of the tate_channel . we 're gon na have a taped_channel broadcast , and i 'm gon na go live_exclusively to you guys at the end of every emergency_meeting is we are gon na start telling you ourselves , how you can make money from the things we 've mentioned .",episode-82-huge-announcement.txt
3,"excluding dark . think give away . i 'll open up the vol . could give away ten million_dollars right now and get how much impacted it would income my life zero . i 've got endless money in the way . the family unit is the rain_dance . first and foremost , still upset you got rick rolled . because he thought it was a cool video him in his fancy through . no one cares about your no one gives a fuck about your suit or human_traffic . so stay tuned . keep this stream on the background . they 'll jump in and out of it . throw some other people join the real world and now you can see notification on screen everyone enjoy the real world just gon na chance to get let me get you on your drive . tonight .",episode-82-huge-announcement.txt
3,"we 're gon na have a tate_channel broadcast , i 'm gon na go live_exclusively to you guys then . of every emergency_meeting is we are gon na start telling you ourselves how you can make money from the things we 've mentioned . an exclusive_stream for people who are inside of the real world home and how they can take the information we 've given them . and we 're gon na do this for every_single emergency_meeting for the unfair_advantage of how to make money from these points , how to affect the world in a way that 's gon na benefit you come to the stream inside of the real world . emergency_meeting unfair_advantage is taking_place live now to gain_access join now at join the real world dot_com . if you 're inside of the real world , you can prepare for an_announcement inside of the tate_channel .",episode-68-cheat-codes.txt
3,"when this emergency_meeting ends a new , is gon na begin inside of the real world platform , we do a breakdown how you can benefit from this diagram , how you can apply it to things how you can apply it to making money and also gon na give them an insight into what 's coming up in the next emergency to meeting with fundraiser_dot com . if you are not part of the real world . now is your time to join . you have ten or fifteen minutes . join the real world dot_com , sign up , get inside , and you 're gon na see the broadcast . also once you 're member if the real world or power_level be increasing in real time by completing the objectives and interacting with the other students , and your power_level is gon na translate into directly into the real world air_drop tokens , so you 're gon na be effectively paid .",episode-68-cheat-codes.txt
3,"an exclusive_stream for people who are inside of the real world home and how they can take the information we 've given them . and we 're gon na do this for every_single emergency_meeting for the unfair_advantage , how to make money from these points how to affect the world in a way that 's it 's gon na benefit you come to the stream inside of the real world . emergency_meeting unfair_advantage taking_place live now to gain_access join now . at join the real world dot_com . if you 're inside the real world , you",episode-52-do-you-have-a-sword.txt
3,"i 'm gon na go live_exclusively to you guys at the end of every emergency_meeting is we are gon na start telling you ourselves , how you can make money from the things we 've mentioned . an exclusive_stream for people who are inside of the real world home and how they can take the information we 've given them . and we 're gon na do this for every_single emergency_meeting . for the unfair_advantage , how to make money from these points how to affect the world in a way that 's gon na benefit you come to the stream inside of the real world . emergency_meeting unfair_advantage is taking_place live now to gain_access join now at join the real world dot_com .",episode-50-cowardice.txt
3,"and exclusive_stream for people who are inside of the real world home and how they can take the information we 've given them . and we 're gon na do this for every_single emergency_meeting for the unfair_advantage , how to make money from these points how to affect the world in a way that 's gon na benefit you come to the stream inside of the real world . emergency_meeting unfair_advantage is taking_place live now to gain_access join now at join the real world dot_com . if you 're inside of the real world , you can prepare for an_announcement inside of the tate_channel . we 're gon na have a taped_channel broadcast . i 'm gon na go live_exclusively to you guys at the end of every emergency_meeting is we are gon na start telling you ourselves , how you can make money from the things we 've mentioned .",episode-82-huge-announcement.txt
